排名,电影名称,电影英文名称,导演,剧情类型,上映时间,片长,累计票房,主演,评分,奖项,剧情简介
55,断背山,Brokeback Mountain,李安,剧情,2005-09-02,134分钟,暂无,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",8.9,"['第78届奥斯卡金像奖', '第62届威尼斯电影节', '第78届奥斯卡金像奖', '第62届威尼斯电影节', '第63届金球奖', '第18届欧洲电影奖', '第59届英国电影和电视艺术学院奖', '第32届法国电影凯撒奖', '第15届MTV电影奖', '第51届意大利大卫奖', '第21届独立精神奖', '第9届好莱坞电影奖', '第45届美国剪辑工会奖', '第70届纽约影评人协会奖', '第58届美国导演工会奖', '第12届美国演员工会奖', '第6届美国电影学会奖']",1963年的灿烂夏日，怀俄明西部，年轻的牛仔杰克·特维斯特 （ 杰克·吉伦哈尔 饰）与恩尼斯·德尔玛 （ 希斯·莱杰 饰）因同为牧场主乔·阿桂尔 （ 兰迪·奎德 饰）打工而相识。杰克比较健谈，且骑术高超。恩尼斯自幼小父母双亡，性格内向寡语。人迹罕至的断臂山深处，高山牧场的放羊工作单调而艰苦，随时有遭遇野兽袭击的可能。供杰克与恩尼斯栖身的帐篷狭小得只能睡下一人，另一人不得不睡在露天篝火旁，起初二人各自放羊，少有交流。直到有一天，二人晚饭时喝多了酒，夜晚又分外寒冷，于是杰克与恩尼斯同帐共裘而眠。在酒精与荷尔蒙的作用下，他们之间发生了“不该发生的事”，空虚寂寥让两个19岁的青年彼此相爱了。一个人做饭，另一个放羊，篝火边长谈，帐篷内欢爱，同性间的爱情伴随着二人度过了人生中最美好的夏日时光。季节性的放牧工作结束后，迫于世俗的压力，杰克与恩尼斯依依不舍地踏上了各自的生活旅程，杰克凭着精湛的骑术成为了德州的竞技牛仔，依靠着妻子露琳 （ 安妮·海瑟薇 饰）家族的扶植而事业蒸蒸日上；留在牧场的恩尼斯迎娶了自幼相识的阿尔玛 （ 米歇尔·威廉姆斯 饰），每日为待哺的女儿奔忙，过着平凡清苦的日子。弹指间四年过去了，饱受相思之苦的杰克给恩尼斯寄去贺卡，说自己做生意外出时要路过怀俄明，希望能见上一面。重逢后的杰克与恩尼斯深情拥吻，时光的流失并未冲淡二人心中炽热的情感。在随后的十几年中，杰克与恩尼斯都定期约会钓鱼。表面上的婚姻让阿尔玛的内心苦楚不堪，她知道丈夫每年消失在断臂山中与老友杰克钓鱼的真正原因，而杰克与恩尼斯也经受着同性恋所招致的巨大偏见和世俗压力。最终厮守一生的愿望因杰克的意外身亡而落空。在杰克去世后，恩尼斯来到了杰克父母的农场，想把杰克的骨灰带回到二人初次相识的断臂山。在杰克的房间里，他发现了一个秘密：初识时他们各自穿过的衬衫被整齐地套在了同一个衣挂上。这个秘密让恩尼斯潸然泪下，他意识到杰克是多么爱他，自己又多么深爱杰克。但无论爱是怎样的浓烈，最终见证它的只有那座壮美苍郁的断臂山  。
56,神偷奶爸,Despicable Me,克里斯·雷纳德,喜剧,2010-06-20,95分钟,暂无,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",8.9,"['第68届金球奖', '第64届英国电影和电视艺术学院奖', '第68届金球奖', '第64届英国电影和电视艺术学院奖', '第38届安妮奖', '第37届人民选择奖', '第37届土星奖', '第12届青少年选择奖', '第50届美国剪辑工会奖', '第9届华盛顿影评人协会奖', '第23届芝加哥影评人协会奖', '第15届圣地亚哥影评人协会奖']",一直以来，自诩为全世界最让人胆战心惊的超级混蛋的格鲁 （史蒂夫·卡瑞尔配音），始终觉得没有人可以阻挡他充满着邪恶趣味的前进脚步，可是当他与3个小女孩的生命有所交集之后，他很快就意识到，自己即将面对的是有史以来最艰难的挑战。 在一个被白色的尖桩篱笆和茂盛的玫瑰花丛所包围的看似快乐祥和的郊外社区里，坐落着一座全黑色的大房子，周围则是死气沉沉且略显呆板的绿色草坪。周遭邻居所不知道的是，在这座房子的下面，有一个非常隐蔽的巨大的藏匿之处，里面竟然驻扎着一支用心极度险恶的小矮人军队，而他们的头头格鲁则正在计划整个人类历史上最疯狂的抢劫案——没错，他打算偷走月亮。 不管是在什么样的环境下，格鲁天生似乎就只对做一些不道德的坏事感兴趣，简直是越堕落越快乐……除此之外，他背后还有一个可怕的军械库的支持和武装，最擅长的就是发射缩小光线和冷冻光线。格鲁已经做好了最先进的战斗准备，无论是地面还是空中作业，他都有办法应付——他已经想好了，他会毫不犹豫地清除掉任何挡在自己前进路线上的人，不达目的誓不罢休。直到有一天，他遇到了3个来自于孤儿院的小女孩，并与她们共同结成的强大意志力发生了激烈的碰撞  。
57,致命魔术,The Prestige,克里斯托弗·诺兰,剧情,2006-10-17,130分钟,5309万美元,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",8.8,"['第79届奥斯卡金像奖', '第33届土星奖', '第79届奥斯卡金像奖', '第33届土星奖', '第9届青少年选择奖']",十九世纪中后期的伦敦，人们还尚未对现代文明有着更加深刻而科学的认识。因此魔术师这一职业在这座堪称国际化的大都市里有着颇高的地位。尤其是贵族出身的魔术师罗伯特·安吉尔（休·杰克曼 饰）更是这一行业的代表人之一。他的同行阿尔弗莱德·伯登（克里斯蒂安·贝尔 饰）虽身家并没有前者的高贵，却也凭借一身的好本事在行内也占得一席之地。实际上，安吉尔与伯登很小的时候就是好朋友，由于两人皆天资聪慧，双双醉心于魔术表演并各自有着不同的特长和本领。但让长大成人后现实中的一切包括名和利种种，渐渐将一对好友推向了敌对的两面。成了同行里的红眼冤家。为了能够成为伦敦城内著名的维多利亚音乐大厅里最受欢迎的魔术师，安吉尔同伯登之间展开了长久而艰苦的争斗。他们一边加强自己的技艺，一边不惜互派卧底，打探彼此的底细，然后加以揭穿或破坏。生性有些偏执的伯登擅长一种能够令观众们难以置信的分身术，他能够在两个封闭的容器内自由穿越，此招数一度将安吉尔的铁杆观众几乎都吸引了过来。安吉尔自然也不甘示弱，他为了能够打败伯登，开始求助于科学家尼姑拉·特斯拉（大卫·鲍伊 饰），请他发明一些奇特的表演道具，其中就包括一个短距离穿越时空的机器，这样在舞台上，他就能以一种不可思议的方式战胜伯登。然而，争强好胜的伯登心头渐渐起了邪念，他想到了更加狠毒的办法来对抗安吉尔。两人的魔术之争也因此逐渐升级、愈演愈烈，直到他们的争斗酿出了一桩惨不忍睹的血案……
58,无敌破坏王,Wreck-It Ralph,瑞奇·摩尔,喜剧,2012-11-06,101分钟,6382万,"约翰·C·赖利,萨拉·西尔弗曼,简·林奇",9.1,"['第85届奥斯卡金像奖', '第70届金球奖', '第85届奥斯卡金像奖', '第70届金球奖', '第66届英国电影和电视艺术学院奖', '第40届安妮奖', '第39届土星奖', '第18届评论家选择奖', '第52届美国剪辑工会奖', '第84届美国国家评论协会奖', '第11届华盛顿影评人协会奖', '第25届芝加哥影评人协会奖', '第12届凤凰城影评人协会奖', '第17届圣地亚哥影评人协会奖', '第17届金卫星奖']",无敌破坏王（约翰·C·赖利 配音）生活在一个80年代出品的低精度游戏中。他的设定身份是一个反派，每天的生活就是在游戏《快手阿修》中大搞破坏，其后由玩家操作的英雄人物快手阿修（杰克·麦克布瑞尔 配音） 会及时赶到进行修补，赢得奖牌，包揽一切荣耀。身为反派，破坏王厌倦了自己的生活，眼看阿修被胜利者的光环围绕，自己却日复一日在无趣中过活，他终于决定改变。单纯的他以为只要自己也能得到一枚奖牌，就可以摆脱反派的身份，于是某日在游戏厅歇业后，破坏王偷偷离开了自己的游戏，前去闯荡其他电子游戏的世界。在途中，破坏王结识了来自《英雄使命》的冷酷队长（简·林奇 配音）和来自90年代糖果赛车游戏《甜蜜冲刺》的小女孩云妮（萨拉·丝沃曼 配音）。后者梦想着能上场比赛，但其身份也不允许她梦想成真。破坏王所属的游戏《快手阿修》由于失去了他被认定为系统错误，如不尽快返回，则游戏就会被永久删除；而《甜蜜冲刺》的游戏世界则在悄悄酝酿着一场巨大的、威胁到整个游戏世界的阴谋。这也许是无敌破坏王实现梦想的机会，但也可能是一条不归路…… 他可以扭转乾坤，成为一名真正的英雄吗？
59,鬼子来了,Devils on the Doorstep,姜文,剧情,2000-05-13,139分钟,2万美元,"姜文,姜宏波,陈强",8.9,"['第54届戛纳电影节', '第53届戛纳电影节', '第54届戛纳电影节', '第53届戛纳电影节', '第52届戛纳电影节', '第76届日本电影旬报奖']",抗日战争末期，河北某偏僻乡村挂家台的老实村民马大三（姜文 饰）迎来棘手难题：某人将分别装有日本鬼子花屋小三郎（香川照之 饰）和汉奸翻译董汉臣的麻袋扔给他，声称不日来取，却迟迟不见其来。厚道的马大三一边将两人当亲爹娘侍奉，一边同村人商议计策，最后决定将两人处死，但终因“天意”不了了之。巧舌如簧的董汉臣为自救，设法令挂甲台村民与花屋小三郎签署合约，称将花屋安全送到日方宪兵队后，村民可得到几大车粮食。马大三与众村民兴高采烈赶到宪兵队，将俘虏交由日方，然而日方并无“以其礼还其礼”的教养。
60,美丽心灵,A Beautiful Mind,朗·霍华德,剧情,2001-12-13,135分钟,暂无,"罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",8.8,"['第74届奥斯卡金像奖', '第59届金球奖', '第74届奥斯卡金像奖', '第59届金球奖', '第55届英国电影和电视艺术学院奖', '第11届MTV电影奖', '第4届青少年选择奖', '第41届美国剪辑工会奖', '第54届美国导演工会奖', '第8届美国演员工会奖', '第2届美国电影学会奖']",英俊而又十分古怪的数学家约翰·纳什 （罗素·克劳饰）念研究生时便发明了他的博弈理论，短短26页的论文在经济、军事等领域产生深远的影响，他开始享有国际声誉。但纳什出众的直觉受到了精神分裂症的困扰，使他向学术上最高层次进军的辉煌历程发生了巨大改变。面对这个曾经击毁了许多人的挑战，纳什在深爱着他的妻子艾丽西亚 （ 詹妮弗·康纳利 饰）的相助下，与被认为是只能好转、无法治愈的疾病作斗争。经过十几年的不懈努力，完全通过意志的力量，他一如既往地坚持工作，并于1994年获得诺贝尔奖，他在博弈论方面颇具前瞻性的工作也成为20世纪最具影响力的理论。而纳什也成了一个不仅拥有美好情感，并具有美丽心灵的人  。
61,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,克里斯托弗·诺兰,剧情,2012-08-27,165分钟,3.39亿,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",8.9,"['第66届英国电影和电视艺术学院奖', '第36届日本电影学院奖', '第66届英国电影和电视艺术学院奖', '第36届日本电影学院奖', '第22届MTV电影奖', '第39届人民选择奖', '第39届土星奖', '第15届青少年选择奖', '第14届青少年选择奖', '第38届洛杉矶影评人协会奖', '第18届评论家选择奖', '第16届好莱坞电影奖', '第19届美国演员工会奖', '第84届美国国家评论协会奖', '第13届美国电影学会奖', '第12届凤凰城影评人协会奖', '第21届东南影评人协会奖', '第17届金卫星奖']",自从“蝙蝠侠”（ 克里斯蒂安·贝尔饰）消失在了黑夜当中， 已经过去整整8年的时间了，而他也在一夜之间从一名英雄转变成了一个不得不亡命天涯的逃亡者。由于哈维·登特的死，这位被称之为“黑暗骑士”的超级英雄虽然对加诸在自己身上的指责与羞辱嗤之以鼻，可是他也为此牺牲了他和警官吉姆·戈登（ 加里·奥德曼饰）为了实现“更美好的未来”的目标而做的一切努力。随着谎言肆意地蔓延，在反罪行的登特法案的强行高压之下，高谭市的犯罪活动总算是被彻底地被瓦解和粉碎了。但是，当一个狡猾、灵敏的飞贼“ 猫女”（ 安妮·海瑟薇饰）突然来到这座城市之后，曾经歌舞升平的一切也被彻底地颠覆了，她怀揣的显然是一个不可告人的神秘计划。不过，比她更危险的其实是“贝恩”（ 汤姆·哈迪饰）的现身，他是一个戴着面具的恐怖分子，策划着要在高谭市实施一场异常诡异又可怕的袭击，也迫使着布鲁斯·韦恩不得不摆脱自我放逐的颓废状态，重新戴上头套、披上斗篷——可即使如此，他仍然不是“贝恩”的对手，很可能会和这座生他养他的城市一起走向毁灭的边缘。
62,甜蜜蜜,Comrades: Almost a Love Story,陈可辛,剧情,2015-02-13,118分钟,1233万,"黎明,张曼玉,曾志伟",9.2,"['第16届香港金像奖', '第34届台湾电影金马奖', '第16届香港金像奖', '第34届台湾电影金马奖', '第3届香港电影评论学会大奖']",1986年3月1日，黎小军（ 黎明饰）告别了女友方小婷（ 杨恭如饰），一个人从天津来到香港。他最大的理想就是赚到钱能把小婷接来成婚。在香港，他认识了在麦当劳工作的李翘（ 张曼玉饰），两个孤独的人终于成了朋友。偶然间，他们发现彼此都很喜欢邓丽君的歌。直到有一天，他们发现对方并不是自己来香港的理想所在，于是他们分手了。小婷终于成了黎太太，李翘也跟了混黑社会的豹哥（ 曾志伟饰）。日子仿佛就应该这样继续，可是他们终于发现自己一直深爱着对方。紧接着的一场变故（豹哥意外身亡）使两人再次相遇，时间已是1995年5月8日，他们在纽约唐人街一家商店的橱窗前，一起看着邓丽君去世的消息。当四目相对，耳畔传来的又是那首他们在香港一同唱过的《 甜蜜蜜》。
63,哈利·波特与死亡圣器（下）,Harry Potter and the Deathly Hallows: Part 2,大卫·叶茨,剧情,2011-08-04,130分钟,4.02亿,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",9.0,"['第84届奥斯卡金像奖', '第65届英国电影和电视艺术学院奖', '第84届奥斯卡金像奖', '第65届英国电影和电视艺术学院奖', '第64届英国电影和电视艺术学院奖', '第3届北京国际电影节', '第21届MTV电影奖', '第38届人民选择奖', '第38届土星奖', '第14届青少年选择奖', '第13届青少年选择奖', '第17届评论家选择奖', '第15届好莱坞电影奖', '第18届美国演员工会奖', '第12届美国电影学会奖', '第10届华盛顿影评人协会奖', '第11届凤凰城影评人协会奖', '第16届圣地亚哥影评人协会奖']",哈利进入与 伏地魔意识连通的幻境，找到了一些魂器，但也让伏地魔发觉了他们的行动。哈利又一次进入幻境后推断出伏地魔的居所，三人来到了此地。他们看到伏地魔命令毒蛇除掉斯内普，以把长者杖魔力传给自己。弥留之际，斯内普把记忆送给哈利，原来他一直爱着哈利的母亲莉莉，因此从来都是站在邓布利多一边。哈利披上隐身斗篷去与伏地魔战斗，发现海格被押作人质。哈利一现出身来就被一咒击倒，醒来时彷佛进入一个生与死的边缘，碰到已死的邓布利多。哈利发觉咒语正巧击溃了藏在自己体内的那一部分伏地魔的灵魂。伏地魔命令海格把貌似死了的哈利带回 霍格沃茨，杀杀士气。哈利趁乱披上隐身斗篷，纳威敏捷地抽出格兰芬多剑砍掉了毒蛇纳吉尼的脑袋，藏在毒蛇体内的伏地魔最后一个魂器就这样被毁掉。哈利在大殿里面直面伏地魔，长老杖在伏地魔手中。哈利猜测长 老杖原来的主人不是斯内普而是马尔福，解除邓布利多武装的是马尔福，而斯内普只是依照邓布利多的愿望把他杀掉。然而解除掉马尔福武力的人却是哈利，所以长老杖真正的力量在哈利这里。所以伏地魔用长老杖对哈利施死咒时，哈利让死咒又反弹到伏地魔身上，伏地魔就这样被结果了。19年后，哈利和金妮有了三个孩子，罗恩和赫敏也有两个孩子。两家人在 国王十字车站送孩子去霍格沃茨学校，在这里他们遇见了不少故人。最终哈利摸着前额上的闪电形疤痕，19年了这块疤痕再也没有痛过。一切都好  。
64,倩女幽魂,A Chinese Ghost Story,程小东,爱情,2011-04-30,98分钟,2万,"张国荣,王祖贤,午马",9.2,"['第7届香港金像奖', '第24届台湾电影金马奖', '第7届香港金像奖', '第24届台湾电影金马奖']",宁采臣 （张国荣饰）赴郭北县收帐，逢大雨，躲入传说纷纭的兰若寺投宿，但为寺内道士燕赤霞 （午马饰）所拒，于是宁采臣偷偷潜入寺中。入夜，宁采臣被一阵琴音吸引，邂逅少女聂小倩 （王祖贤饰）。聂小倩突露杀机，幸燕赤霞赶到，救下宁采臣一命。聂小倩感其正直，心生爱意，但被燕赤霞阻止。宁采臣却误认燕赤霞为杀人犯，欲与聂小倩逃走。树精姥姥 （刘兆铭饰）逼聂小倩杀宁采臣，聂小倩不肯，姥姥命众魔欲杀宁与小倩，燕赤霞再次出现，救 下二人，姥姥重伤。此时宁采臣才知聂小倩原是一游魂，因尸骨被弃荒野而受姥姥控制，每夜四处寻找壮男为姥姥吸引阳精，增益延寿。为免聂小倩再次受辱，宁采臣答应将其尸骨送回乡间安葬。不料聂小倩却被地府石妖抢去为妻。燕赤霞经不住宁采臣相求，再次出手，终于救回小倩  。
65,本杰明·巴顿奇事,The Curious Case of Benjamin Button,大卫·芬奇,剧情,2008-12-25,166分钟,暂无,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",8.8,"['第81届奥斯卡金像奖', '第66届金球奖', '第81届奥斯卡金像奖', '第66届金球奖', '第62届英国电影和电视艺术学院奖', '第18届MTV电影奖', '第35届土星奖', '第11届青少年选择奖', '第48届美国剪辑工会奖', '第73届纽约影评人协会奖', '第61届美国导演工会奖', '第15届美国演员工会奖', '第9届美国电影学会奖']",飓风正在侵袭美国新奥尔良，一位病危的老妇睁开了她的睡眼。老妇名叫戴茜（凯特·布兰切特 饰），她叫女儿凯若琳（朱莉娅·奥蒙德 饰）为她阅读一本日记。这本日记的作者叫本杰明·巴顿（布拉德·皮特 饰）。本杰明出生在第一次世界大战停战之时，但生来便像个老人的他被父亲当作怪物，被遗弃在了养老院。本杰明在养老院与老人们一起生活。但谁都没有想到，本杰明逆向发育——越活越年轻！也许“越活越年轻”是某些人的梦想，但真正这样成长的本杰明却有了别人无法理解的烦恼与快乐。穿越半世纪的世界变革，本杰明身处其中，感受别人感受不到的感受。为何母亲会让自己念这本日记？本杰明·巴顿此人与母亲有什么关系？凯若琳陷入了深深的疑惑与好奇之中。
66,钢琴家,The Pianist,罗曼·波兰斯基,剧情,2002-05-24,150分钟,3257万美元,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",8.8,"['第75届奥斯卡金像奖', '第55届戛纳电影节', '第75届奥斯卡金像奖', '第55届戛纳电影节', '第54届戛纳电影节', '第60届金球奖', '第15届欧洲电影奖', '第56届英国电影和电视艺术学院奖', '第27届日本电影学院奖', '第28届法国电影凯撒奖', '第17届西班牙戈雅奖', '第48届意大利大卫奖', '第77届日本电影旬报奖', '第55届美国导演工会奖', '第9届美国演员工会奖']",作为一名天才的作曲家兼钢琴家，瓦拉迪斯劳·席皮尔曼 （阿德里安·布洛迪饰）在纳粹占领前还坚持在电台做现场演奏。然而在那段白色恐怖的日子里，他整日处在死亡的威胁下，不得不四处躲藏以免落入纳粹的魔爪。他在华沙的犹太区里饱受着饥饿的折磨和各种羞辱。在这里，即便所有热爱的东西都不得不放弃的时候，他仍旧顽强的活着。他躲过了地毯式的搜查，藏身于城市的废墟中。幸运的是他的音乐才华感动了一名德国军官，在军官的冒死保护下，钢琴家终于捱到了战争结束，迎来了自由的曙光。他的勇气为他赢得了丰厚的回报，在大家的帮助下他又找到了自己衷心热爱的艺术  。
67,触不可及,Intouchables,奥利维埃·纳卡什,剧情,2011-11-02,112分钟,暂无,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",9.1,"['第70届金球奖', '第24届东京国际电影节', '第70届金球奖', '第24届东京国际电影节', '第25届欧洲电影奖', '第66届英国电影和电视艺术学院奖', '第36届日本电影学院奖', '第37届法国电影凯撒奖', '第27届西班牙戈雅奖', '第57届意大利大卫奖', '第56届意大利大卫奖', '第18届评论家选择奖', '第84届美国国家评论协会奖', '第11届华盛顿影评人协会奖', '第25届芝加哥影评人协会奖', '第12届凤凰城影评人协会奖', '第21届东南影评人协会奖', '第17届圣地亚哥影评人协会奖', '第17届金卫星奖']",因为一次跳伞事故，白人富翁菲利普（弗朗索瓦·克鲁塞 饰）瘫痪在床，欲招聘一名全职陪护。由于薪酬高，应聘者云集，个个舌灿莲花，却无法打动他的心。直到黑人德瑞斯（奥玛·赛 饰）的出现才让他作出决定。德希斯刚从监狱出来，背负家庭重担，一心只想寻张辞退信以申领救济金，而且他明显对女助理的兴趣要远大于这份工作。但是菲利普还是一眼相中了这个小伙子。于是，德瑞斯开始了一个月的试用期。虽然舒适的豪宅环境让他倍感虚荣，但是他仍面临很多挑战：不仅要为菲利普作身体复健，还得给他洗浴、灌肠、拆信、穿丝袜等。起初，两人的思维方式与价值观大相径庭，但是，随着了解的不断深入，他们成为了朋友……
68,新龙门客栈,New Dragon Gate Inn,李惠民,动作,2012-02-24,88分钟,627万,"张曼玉,梁家辉,甄子丹",8.8,"['第12届香港金像奖', '第29届台湾电影金马奖', '第12届香港金像奖', '第29届台湾电影金马奖', '第1届北京大学生电影节']",明朝中叶的天顺年间，东厂大太监 曹少钦（ 甄子丹饰）将兵部尚书杨宇轩陷害致死，并以流放其儿女为饵，欲引出杨宇轩的部下周淮安（ 梁家辉饰），妄图将其旧部一网打尽。江湖侠女邱莫言（ 林青霞饰）受情郎周淮安之托，经过浴血厮杀，救出杨家儿女并相约在大漠边关的龙门客栈会合。岂料乔装后的东厂三大档头带领众高手尾随而至。以经营黑店为生的老板娘 金镶玉（ 张曼玉饰）风骚多情，对周淮安暗生情愫，可惜周淮安早已心属邱莫言。此时，曹少钦的大队人马正向龙门客栈杀来，店内又有东厂高手百般纠缠，加上大漠天气莫测，周淮安等人苦苦无法脱身。周淮安探知客栈内有一条出关密道，为救杨氏遗孤，周淮安不惜以与金镶玉结婚为条件查出密道所在，并与邱莫言等人相约新婚之夜由密道逃离。岂料，曹少钦的大队人马已然杀到。万里黄沙之间，生、死、爱、恨交织之时，周、邱、金三人众志成城，联手将恶徒诛杀，邱莫言却也因此牺牲。周淮安决意远离中原，金镶玉一把火将客栈烧毁，追随周淮安而去。
69,大话西游之大圣娶亲,A Chinese Odyssey Part Two - Cinderella,刘镇伟,喜剧,2014-10-24,110分钟,1.78亿,"周星驰,朱茵,莫文蔚",8.8,"['第15届香港金像奖', '第15届香港金像奖']",至尊宝（周星驰 饰）被月光宝盒带回到五百年前，遇见紫霞仙子（朱茵 饰），被对方打上烙印成为对方的人，并发觉自己已变成孙悟空。 紫霞与青霞（朱茵 饰）本是如来佛祖座前日月神灯的灯芯（白天是紫霞，晚上是青霞），二人虽然同一肉身却仇恨颇深，因此紫霞立下誓言，谁能拔出她手中的紫青宝剑，谁就是她的意中人。紫青宝剑被至尊宝于不经意间拔出，紫霞决定以身相许，却遭一心记挂白晶晶（莫文蔚 饰）的至尊宝拒绝。后牛魔王救下迷失在沙漠中的紫霞，并逼紫霞与他成婚，关键时刻，至尊宝现身。
70,初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,普特鹏·普罗萨卡·那·萨克那卡林,喜剧,2012-06-05,118分钟,406万,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",8.8,[],初中生小水（平采娜·乐维瑟派布恩 饰）相貌平平，家境一般，所以在学校里并不受重视。但是她心地善良，又有一群死党，日子过得倒也开心。某天，她遇见了帅气的学长阿亮（马里奥·毛瑞尔 饰），春心萌动，无 法遏制。她喜欢看他踢足球，看他拍照，如痴如狂。上英语课时，她不停地给死党传纸条 表达对阿亮的爱慕。然而，英语老师则指出她除了英语一无是处。回到家，叔叔从美国捎来了父亲的消息，说如果她能考全校第一，就可以去美国。于是，她按下决心要努力加油。某天，小水等人在买饮料时，碰到篮球队员蛮横插队。阿亮挺身而出，为她们教训了对方，并挨了校长的责骂。小水也第一次听说，阿亮的父亲因为射失点球而退役的事情，理解了他心中的隐痛。由于舞蹈队是给美女准备的，所以小水等一干姐妹准备在话剧社大展身手，没想到学长也来到这个社团。两人还扮演王子公主，他们的恋情会由此展开么？……
71,熔炉,도가니,黄东赫,剧情,2011-09-22,125分钟,暂无,"孔刘,郑有美,金智英",8.8,"['第49届韩国电影大钟奖', '第49届韩国电影大钟奖']",来自首尔的哑语美术老师仁浩（孔宥 饰）来到雾津，应聘慈爱聋哑人学校。天降大雾，他意外撞车，维修时邂逅了人权组织成员柔珍（郑有美 饰）。仁浩妻子早亡，8岁女儿天生哮喘由祖母照看，所以他不辞辛苦谋职养家。然而，双胞胎的校长与教导主任竟逼仁浩索贿5千万韩元。同时，仁浩逐渐发现学校笼罩着一种紧张压抑的气氛，令人窒息。有三个孩子引人关注：聪颖的金妍斗（金贤秀 饰）、贪吃的陈宥利（郑仁絮 饰）和弟弟自杀身亡的全民秀（白承焕 饰），民秀总是满脸淤青。下课后，仁浩还听到女厕所中有呼喊与哭泣，在门卫的阻拦下他未深究。之后。他意外目睹了校长行贿警察，教导员毒打民秀，宿导溺罚妍斗的行径。一个惊天的隐秘被慢慢揭开，真相令韩国震惊…… 本片取材于2005年光州一所聋哑障碍人学校的真实事件，改编自韩国作家孔枝泳的同名小说。
72,小鞋子,بچههای آسمان,马基德·马基迪,剧情,1997,89分钟,93万美元,"默罕默德·阿米尔·纳吉,KamalMirkarimi,BehzadRafi",9.0,"['第71届奥斯卡金像奖', '第20届蒙特利尔国际电影节', '第71届奥斯卡金像奖', '第20届蒙特利尔国际电影节']",家境贫寒的男孩Ali（Amir Farrokh Hashemian）帮妹妹Zahra（Bahare Seddiqi）取修补好的鞋子时，不慎将鞋子弄丢，为了不被父（Mohammad Amir Naji）、母（Fereshte Sarabandi ）责罚，他央求Zahra暂时保密，说两人可以替换着穿他的鞋子上学，并答应一定会帮她买双新鞋子。Ali原本指望用他和父亲进城打工挣的钱帮Zahra买双新鞋，父亲的意外受伤打消了他的美梦。看到全市长跑比赛季军的奖品是一双运动鞋时，Ali决定参加比赛，但是他错过了报名日期。几经哀求，老师（Dariush Mokhtari ）破例让实力出众的Ali参加了比赛。比赛场上，Ali不断提醒自己，一定要得第三名！
73,素媛,소원,李濬益,剧情,2013-10-02,122分钟,暂无,"李来,薛耿求,严志媛",9.0,"['第34届韩国青龙电影奖', '第50届韩国百想艺术大赏', '第34届韩国青龙电影奖', '第50届韩国百想艺术大赏', '第51届韩国电影大钟奖', '第40届韩国电影大钟奖', '第4届北京国际电影节']",她（李莱 饰）是一个美丽平凡的小女孩，和爸爸妈妈生活在位于街角的家中。家里经营着以她的名字素媛命名的杂货店，母亲（严智媛 饰）作为老板娘日夜忙碌不得闲暇，父亲则在工厂干着繁重的工作。在那个飘雨的早上，素媛打着雨伞独自上学。在离学校近在咫尺的地方，她遭遇一个相貌猥琐、酒气冲天的大叔，由此开启了她的悲剧之旅。柔嫩的小花遭到暴风雨无情摧残，受伤的岂止枝枝叶叶，更是那迎着阳光无忧成长的心。无良媒体铺天盖地大肆渲染，作为受害者的素媛一家仿佛成了周身污秽的耻辱之人，被四周诧异好奇的目光所包围。妈妈悲痛欲绝，几近崩溃。爸爸全力保护女儿，但受伤的小天使却拒绝爸爸的靠近。问凶之路伴随着天使的治愈旅程，美丽的女孩可会再露灿烂笑容？
74,萤火之森,蛍火の杜へ,大森贵弘,剧情,2011-09-17,45分钟,暂无,"内山昂辉,佐仓绫音,后藤弘树",9.0,[],某年夏天，6岁小女孩竹川萤来到爷爷家度假，她闯进了传说住满妖怪的山神森林。正当她因为迷路而焦急万分的时候，一个戴着狐狸面具的大男孩出现在她面前，并引领着萤找到回家的路。虽然萤分外感激，可是男孩却禁止她碰触自己的身体，原来这名叫银的男孩并非人类，他一旦被人类碰触就会烟消云散。在此后的日子里，萤和银成为好朋友，他们走遍了森林的每一个角落玩耍。日复一日，年复一年，每到夏天的时候萤就会如约来到森林和好朋友见面。她遵守着和银的约定，无论如何也不碰触银的身体。随着年龄的增长，萤和银对彼此的情感都悄悄发生了变化，他们共同期待相聚的日子，共同期待拥抱对方…… 本片根据绿川幸的原作改编。
